Job No.,Item,Description,Cost Price,Sale Price,Sold Price,Discount,Gross Profit,GP Margin
"7502","10k","bottom 6 grills","$266.67","$720.00","$720.00","-","$453.33","62.96%"
"7747","Estimate","Prices for both rings are Estimate only","$0.00","$0.00","$0.00","-","$0.00","-"
"7747","remake","remake the moneybag ring in size 3.75 for the pinky. melt down the old ring. Make sure the base is thicker","$0.00","$1,500.00","$1,200.00","-","$1,200.00","100.00%"
"8105","Repair","Sizing down 14k white gold band to size 6.5","$15.00","$85.00","$85.00","-","$70.00","82.35%"
"8210","Custom","14k Yellow Gold Nameplate 'MARIA' with 18 inch chain","$180.00","$450.00","$425.00","$25.00","$245.00","57.64%"
